policy_seed,terrain_seed,ret
0,1,229.89260189991933
0,2,228.60979661962017
0,3,179.92068315620165
0,4,-103.4994564970622
0,5,41.76964791090657
0,6,-71.17501370461643
0,7,89.09771221110408
0,8,-11.347308559725349
0,9,-87.51464268133371
0,10,250.39626589269213
0,11,259.7746134705955
0,12,122.72475615936375
0,13,274.6249398414575
0,14,259.9695120610252
0,15,269.33359901708735
0,16,177.5278807990058
0,17,-158.09720047947866
0,18,287.5131228198946
0,19,97.95263394651018
0,20,-26.46989825774989
0,21,306.40242407251526
0,22,224.68262542775898
0,23,281.9778791528751
0,24,307.14102313530117
0,25,-73.98948599976022
0,26,297.52191788598367
0,27,256.41069893561337
0,28,52.37019189951076
0,29,270.46497566235996
0,30,294.36009449043405
0,31,262.5589583320975
0,32,274.48047417863967
0,33,162.2546386341385
0,34,279.6170683481491
0,35,280.9436546365725
0,36,277.20873331753694
0,37,234.71122705241234
0,38,263.0461651678703
0,39,-85.45832734383715
0,40,279.50975914765615
0,41,153.50420612768252
0,42,261.75300889708
0,43,-51.87467746328944
0,44,284.9086701191526
0,45,254.6140826507032
0,46,295.48481282642825
0,47,263.83224142937695
0,48,117.44251550210542
0,49,80.81474030042897
0,50,183.58372771085791
0,51,163.9055573200385
0,52,156.1381236021797
0,53,245.6364999461325
0,54,251.48036720286166
0,55,28.304681819879022
0,56,302.66082486938615
0,57,277.7578023960501
0,58,62.54893606578429
0,59,-38.434657135234886
0,60,255.84779006457217
0,61,245.39203587805082
0,62,139.59301879433713
0,63,244.32255850073784
0,64,282.6081366452264
0,65,294.57646240732527
0,66,183.96786161253243
0,67,274.75775613798584
0,68,290.63858554612705
0,69,275.8077166028272
0,70,15.305885076838473
0,71,239.93367848775387
0,72,255.9902606279399
0,73,-24.47822424371526
0,74,274.0291272398963
0,75,42.2277402718496
0,76,30.93692574678625
0,77,-72.46360273082566
0,78,261.8409382643441
0,79,-66.92522527083182
0,80,254.17590283934823
0,81,-95.24590531987147
0,82,289.87902845530044
0,83,256.8915498928278
0,84,1.3910203122158293
0,85,193.16952414830743
0,86,214.1717845700583
0,87,224.7479845390932
0,88,262.1396052148406
0,89,292.6567061489015
0,90,234.80803085773502
0,91,277.78563177169025
0,92,236.7329777604844
0,93,66.29716560977666
0,94,54.27680974446568
0,95,167.41409436218436
0,96,163.25460614944484
0,97,-11.835334522463612
0,98,-56.54002845414798
0,99,153.295936944314
0,100,246.1691419398129
0,101,256.0295683405884
0,102,272.3349895209773
0,103,227.27790920875992
0,104,269.2976402884506
0,105,150.73021353674557
0,106,307.8721283173821
0,107,104.52651639329153
0,108,249.54628655594908
0,109,270.1918721948026
0,110,196.74931329103828
0,111,29.111951470039372
0,112,285.2115172722193
0,113,154.45804857905586
0,114,267.03447754865573
0,115,253.6979292112601
0,116,288.6226033379463
0,117,-75.44123397645919
0,118,250.96545676625348
0,119,147.761215184835
0,120,240.46847560307063
0,121,294.553228160631
0,122,270.86869976736386
0,123,285.5755993226226
0,124,294.203191008226
0,125,106.29054548308939
0,126,153.9086516081681
0,127,297.8550724678457
0,128,275.36483903508184
0,129,-14.143057394879364
0,130,276.2041048867886
0,131,278.91496846926105
0,132,201.10708837043623
0,133,85.48039646005545
0,134,35.74107985073297
0,135,-15.104511501935349
0,136,186.2021531241474
0,137,268.7293022727978
0,138,189.51455975948184
0,139,182.6991360235166
0,140,59.47187810086143
0,141,163.6262605045349
0,142,181.5188178638827
0,143,-9.055494056945708
0,144,137.53882344276744
0,145,-57.22908542132626
0,146,29.94531499941141
0,147,308.9816277269394
0,148,296.76927906690054
0,149,282.44958123813785
0,150,291.7205839554533
0,151,243.43755075512556
0,152,263.53378512617815
0,153,160.50350290569446
0,154,278.40124931172954
0,155,82.3606826080832
0,156,184.11015155091235
0,157,85.57020888929745
0,158,256.9218875598923
0,159,-0.6847784336789289
0,160,122.34372317713219
0,161,292.1163997934525
0,162,217.21791740040064
0,163,224.41172601782046
0,164,-55.07624763230089
0,165,256.1220551630838
0,166,226.39424593776448
0,167,265.46805159843274
0,168,85.47603966240723
0,169,2.180819586787635
0,170,146.1495510543977
0,171,246.17759406445185
0,172,37.382538501635935
0,173,298.8027674915102
0,174,276.76564403837034
0,175,282.02026232740104
0,176,-46.03020411638997
0,177,279.0142974406671
0,178,150.54862373450655
0,179,253.0490711919764
0,180,246.31300959058217
0,181,245.20391608420536
0,182,271.53223340611333
0,183,289.10385462751606
0,184,246.58116609824629
0,185,298.431963583971
0,186,117.8048170169987
0,187,281.6888216766423
0,188,273.6100537155453
0,189,264.44699023844043
0,190,276.25476138725975
0,191,278.3852858332855
0,192,269.64458099161095
0,193,60.64180856571402
0,194,119.37189699908097
0,195,283.5071438671149
0,196,248.91346829595125
0,197,238.7614082977393
0,198,260.5770725822007
0,199,182.41244276921407
0,200,185.95341818511753
1,1,131.0379389774969
1,2,250.58991833569948
1,3,248.64470828854013
1,4,262.5802727082363
1,5,64.52964426995041
1,6,0.5475234949493029
1,7,258.74833530916607
1,8,46.98747235425071
1,9,30.496072916611354
1,10,260.147398836584
1,11,141.07208567690725
1,12,44.3290532979517
1,13,149.6755945416075
1,14,165.7617203241137
1,15,278.0829068219899
1,16,5.760136684056079
1,17,38.28877164269369
1,18,283.8679853498586
1,19,18.275943764024518
1,20,289.0572021609345
1,21,311.9084200209379
1,22,252.75819034131996
1,23,-3.503892838829387
1,24,294.19410034784755
1,25,267.0151711773974
1,26,297.0342838770425
1,27,290.90218091068255
1,28,148.752885798264
1,29,303.10718408647233
1,30,287.9229639584363
1,31,265.75467819919135
1,32,279.266308097648
1,33,248.37547824964534
1,34,283.46542862260293
1,35,308.2227157317029
1,36,284.19909631948406
1,37,265.28041450224373
1,38,-54.269170965345495
1,39,39.07558377531447
1,40,263.63857435117666
1,41,256.97668142174234
1,42,248.12630257047758
1,43,36.18388188515149
1,44,291.6554419206027
1,45,-58.14516190666486
1,46,295.30173647134905
1,47,269.67591660573396
1,48,254.58762208362228
1,49,262.2357673403841
1,50,265.59122032764947
1,51,13.48008576403916
1,52,301.9256684342081
1,53,209.54281418527373
1,54,15.977917434282588
1,55,11.341434541585429
